repo,avgIssueLatency,nLinksOfProject,propOfWithinEcoLinks,propOfCrossEcoLinks
18F/C2,98.22220909,286,0.06993007,0.041958042
18F/e-manifest,5.64548,42,0.047619048,0.047619048
18F/micropurchase,19.94205766,672,0.010416667,0.044642857
18F/myusa,49.87533803,675,0.005925926,0.038518519
19wu/19wu,14.82596552,482,0.006224066,0.010373444
aasm/aasm,126.1255487,150,0.066666667,0.02
abbot/go-http-auth,2.2289,4,0.25,0
activate/ActivateHub,150.501125,21,0.095238095,0
activeadmin/activeadmin,114.6933145,5100,0.060196078,0.010784314
activeadmin/arbre,57.83088333,43,0.534883721,0.023255814
activebridge/multitenant-mysql,4.8418,5,0.2,0
activemerchant/active_merchant,44.77648358,861,0.012775842,0.026713124
activerecord-hackery/ransack,181.8436116,321,0.180685358,0.065420561
activerecord-hackery/squeel,103.5479044,224,0.160714286,0.013392857
activescaffold/active_scaffold,58.354876,49,0.265306122,0.020408163
adzap/validates_timeliness,312.5332111,40,0.1,0.025
aeolus-incubator/dev-tools,44.52687143,34,0.058823529,0.029411765
aeolusproject/conductor,17.74218,135,0.014814815,0.037037037
afair/postgresql_cursor,14.9865,6,0.333333333,0
afeld/html_pipeline_rails,1.8786,4,0.5,0
afeld/tricle,85.38204,52,0.115384615,0.096153846
AFNetworking/AFNetworking,23.52948309,1473,0.016293279,0.030549898
ageweke/fortitude,168.3123733,30,0.1,0.133333333
agileseason/agileseason,33.24596667,157,0.006369427,0.012738854
AgilionApps/classy_enum,98.3048,11,0.090909091,0.545454545
agoragames/stache,108.7966,9,0.111111111,0.111111111
AI-comp/wpcs,11.85285769,106,0.009433962,0.018867925
airblade/paper_trail,101.9324381,616,0.112012987,0.021103896
airbrake/airbrake,137.0578625,253,0.090909091,0.071146245
ajacques/CertManager,230.8394,2,1,0
Ajaxy/VentureDB,2.5623,16,0.0625,0.25
ajf8/mcomaster,8.7228,8,0.25,0
a-know/a-know-home-rails,6.55010357,80,0.0125,0.075
akshatpradhan/spoutlets,38.9487,21,0.285714286,0.095238095
alabs/oigame,51.6839125,21,0.095238095,0.047619048
AlchemyCMS/alchemy_cms,96.15961525,303,0.03630363,0.095709571
alexreisner/geocoder,120.5504174,360,0.030555556,0.019444444
alphagov/e-petitions,60.24337143,92,0.054347826,0
alphagov/frontend,1.98305,279,0.362007168,0.250896057
alphagov/gds-sso,58.12865,27,0.074074074,0.259259259
alphagov/packager,0.7167,22,0.227272727,0.045454545
alphagov/publishing-api,8.1717,125,0.184,0.184
alphagov/smart-answers,65.79683333,883,0.041902605,0.037372593
alphagov/static,2.97915,247,0.315789474,0.303643725
